ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
64
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0859999999999999e+01
0.0000000000000000e+00 1.0859999999999999e+01
0.0000000000000000e+00 1.0859999999999999e+01
ITEM: ATOMS mass type xs ys zs
28.02 1 0 0 0
28.02 1 0.5 0 0
28.02 1 0.25 0.25 0
28.02 1 0.75 0.25 0
28.02 1 0 0.5 0
28.02 1 0.5 0.5 0
28.02 1 0.25 0.75 0
28.02 1 0.75 0.75 0
28.02 1 0.125 0.125 0.125
28.02 1 0.625 0.125 0.125
28.02 1 0.375 0.375 0.125
28.02 1 0.875 0.375 0.125
28.02 1 0.125 0.625 0.125
28.02 1 0.625 0.625 0.125
28.02 1 0.375 0.875 0.125
28.02 1 0.875 0.875 0.125
28.02 1 0.25 0 0.25
28.02 1 0.75 0 0.25
28.02 1 0 0.25 0.25
28.02 1 0.5 0.25 0.25
28.02 1 0.25 0.5 0.25
28.02 1 0.75 0.5 0.25
28.02 1 0 0.75 0.25
28.02 1 0.5 0.75 0.25
28.02 1 0.375 0.125 0.375
28.02 1 0.875 0.125 0.375
28.02 1 0.125 0.375 0.375
28.02 1 0.625 0.375 0.375
28.02 1 0.375 0.625 0.375
28.02 1 0.875 0.625 0.375
28.02 1 0.125 0.875 0.375
28.02 1 0.625 0.875 0.375
28.02 1 0 0 0.5
28.02 1 0.5 0 0.5
28.02 1 0.25 0.25 0.5
28.02 1 0.75 0.25 0.5
28.02 1 0 0.5 0.5
28.02 1 0.5 0.5 0.5
28.02 1 0.25 0.75 0.5
28.02 1 0.75 0.75 0.5
28.02 1 0.125 0.125 0.625
28.02 1 0.625 0.125 0.625
28.02 1 0.375 0.375 0.625
28.02 1 0.875 0.375 0.625
28.02 1 0.125 0.625 0.625
28.02 1 0.625 0.625 0.625
28.02 1 0.375 0.875 0.625
28.02 1 0.875 0.875 0.625
28.02 1 0.25 0 0.75
28.02 1 0.75 0 0.75
28.02 1 0 0.25 0.75
28.02 1 0.5 0.25 0.75
28.02 1 0.25 0.5 0.75
28.02 1 0.75 0.5 0.75
28.02 1 0 0.75 0.75
28.02 1 0.5 0.75 0.75
28.02 1 0.375 0.125 0.875
28.02 1 0.875 0.125 0.875
28.02 1 0.125 0.375 0.875
28.02 1 0.625 0.375 0.875
28.02 1 0.375 0.625 0.875
28.02 1 0.875 0.625 0.875
28.02 1 0.125 0.875 0.875
28.02 1 0.625 0.875 0.875
ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
64
ITEM: BOX BOUNDS pp pp pp
-6.6589430918897463e-03 1.0866658943091956e+01
-6.6589430918897463e-03 1.0866658943091956e+01
-6.6589430918897463e-03 1.0866658943091956e+01
ITEM: ATOMS mass type xs ys zs
28.02 1 0.00817422 -0.000760119 -0.0044612
28.02 1 0.507394 0.0066918 0.0078423
28.02 1 0.246764 0.252227 0.00760104
28.02 1 0.752425 0.243993 -0.00104892
28.02 1 0.00501835 0.503869 0.00509928
28.02 1 0.500817 0.491807 -0.00304056
28.02 1 0.258976 0.743879 -0.00101638
28.02 1 0.740958 0.747962 -0.00255177
28.02 1 0.121065 0.122324 0.122522
28.02 1 0.622157 0.131446 0.125667
28.02 1 0.371338 0.382192 0.132527
28.02 1 0.870954 0.380789 0.129109
28.02 1 0.130434 0.626558 0.130577
28.02 1 0.620886 0.620629 0.115958
28.02 1 0.37243 0.877815 0.129656
28.02 1 0.871267 0.87589 0.120223
28.02 1 0.250554 -0.000461987 0.24587
28.02 1 0.746503 -0.00866775 0.247
28.02 1 -0.00477424 0.246165 0.247385
28.02 1 0.501731 0.261424 0.254696
28.02 1 0.258284 0.503622 0.254808
28.02 1 0.745803 0.509124 0.248202
28.02 1 -0.000775395 0.753367 0.249975
28.02 1 0.502585 0.747862 0.240154
28.02 1 0.386049 0.120768 0.373801
28.02 1 0.872244 0.128988 0.375255
28.02 1 0.127272 0.371193 0.365889
